filename,mean_fst,weighted_fst,pop1,pop2
fst.59061383.log,-0.000454248,0.00326601,Santa Barbara (AQ),Ensenada
fst.59061476.log,-0.005326,0.000853971,San Diego (AQ),Hazard Canyon
Central_WH_R2_mindpop0.5_fst.log,0.0171327,0.0323179,Central BC (Hi),Winter Harbor (Hi)
SB_LA_R2_mindpop0.5_fst.log,-0.00878172,0.00313448,Santa Barbara,LA (AQ)
fst.59061356.log,-0.00181913,0.00211178,Hazard Canyon,LA (AQ)
fst.59061319.log,0.00477332,0.0134832,Fort Bragg (AQ),Fort Bragg
LA_HG_R2_mindpop0.5_fst.log,0.0333688,0.0549666,LA (AQ),Haida Gwaii (Hi)
HG_Ucluelet_R2_mindpop0.5_fst.log,0.0347977,0.0572179,Haida Gwaii (Hi),Ucluelet
fst.59061494.log,-0.00753727,0.00038429,Ensenada,Santa Barbara
fst.59061367.log,0.00336772,0.0054766,Santa Barbara (AQ),Monterey
fst.59061225.log,-0.00182288,0.00217257,Winter Harbor (Hi),Ensenada
fst.59061297.log,-0.000710528,0.0021988,Fort Bragg,Winter Harbor (Hi)
BamfieldH_Fbragg_R2_mindpop0.5_fst.log,0.000674085,0.00282377,Bamfield (Hi),Fort Bragg
Hazard_SB_R2_mindpop0.5_fst.log,-0.0108194,2.84E-05,Hazard Canyon,Santa Barbara
fst.59061345.log,-0.00169452,0.0030832,Hazard Canyon,Winter Harbor (Hi)
fst.59061255.log,7.59408,0.00401575,Bamfield,Ucluelet
fst.59061330.log,-0.000410148,0.00263871,Monterey,Winter Harbor (Hi)
fst.59061185.log,0.0153985,0.0305431,Central BC (Hi),Monterey
HG_SB_R2_mindpop0.5_fst.log,0.0337245,0.0593592,Haida Gwaii (Hi),Santa Barbara
HG_FbraggA_R2_mindpop0.5_fst.log,0.0412443,0.0722549,Haida Gwaii (Hi),Fort Bragg (AQ)
fst.59061354.log,-0.000839115,0.00365363,Hazard Canyon,Santa Barbara (AQ)
fst.59061253.log,0.00172517,0.00513758,Bamfield,Winter Harbor (Hi)
Central_SD_R2_mindpop0.5_fst.log,0.0176992,0.032816,Central BC (Hi),San Diego (AQ)
Baja_Hazard_R2_mindpop0.5_fst.log,-0.00460856,0.000189647,Ensenada,Hazard Canyon
Baja_HG_R2_mindpop0.5_fst.log,0.0308552,0.0502898,Ensenada,Haida Gwaii (Hi)
fst.59061461.log,-0.000940957,0.00249151,LA (AQ),Ensenada
SD_Bamfield_R2_mindpop0.5_fst.log,0.00141929,0.00746689,San Diego (AQ),Bamfield
fst.59061227.log,0.0347977,0.0572179,Ucluelet,Haida Gwaii (Hi)
Central_FbraggA_R2_mindpop0.5_fst.log,0.0157276,0.0344182,Central BC (Hi),Fort Bragg (AQ)
Ucluelet_Bamfield_R2_mindpop0.5_fst.log,7.59408,0.00401575,Ucluelet,Bamfield
LA_Monterey_R2_mindpop0.5_fst.log,-2.39994,0.00225637,LA (AQ),Monterey
Fbragg_Bamfield_R2_mindpop0.5_fst.log,0.0026977,0.00511045,Fort Bragg,Bamfield
